instance,N,energy,merit_factor,best-known,%_of_best,source,runs,wall_time_s,cpu_time_s,hardware,solver
LABS-69,69,274,8.69,274,100.0,Knauer 2004,5,392.58,39257.6,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-70,70,295,8.31,295,100.0,Knauer 2004,5,396.52,39651.6,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-71,71,327,7.71,275,84.1,Knauer 2004,5,370.27,37027.2,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-72,72,300,8.64,300,100.0,Knauer 2004,45,1580.94,158094.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-73,73,316,8.43,308,97.47,Knauer 2004,45,1705.9,170589.8,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-74,74,349,7.85,341,97.71,Knauer 2004,45,1715.02,171502.2,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-75,75,341,8.25,329,96.48,Knauer 2004,45,1850.4,185039.8,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-76,76,362,7.98,334,92.27,Knauer 2004,5,437.54,43753.6,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-77,77,394,7.52,358,90.86,Knauer 2004,5,426.69,42668.8,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-78,78,411,7.4,347,84.43,Knauer 2004,5,436.93,43693.2,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-79,79,407,7.67,339,83.29,Knauer 2004,5,444.78,44478.4,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-80,80,384,8.33,352,91.67,Knauer 2004,5,455.73,45572.8,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-81,81,408,8.04,372,91.18,Knauer 2004,5,468.0,46800.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-82,82,457,7.36,377,82.49,Knauer 2004,5,480.2,48020.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-83,83,437,7.88,377,86.27,Knauer 2004,5,470.48,47048.4,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-84,84,466,7.57,430,92.27,Knauer 2004,5,479.74,47973.6,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-85,85,482,7.49,414,85.89,Knauer 2004,5,484.04,48404.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-86,86,471,7.85,439,93.21,Knauer 2004,5,487.66,48766.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-87,87,491,7.71,431,87.78,Knauer 2004,5,499.69,49969.2,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-88,88,528,7.33,448,84.85,Knauer 2004,5,523.54,52353.6,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-89,89,516,7.68,432,83.72,Knauer 2004,5,535.71,53571.2,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-90,90,565,7.17,453,80.18,Knauer 2004,5,561.13,56113.2,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-91,91,589,7.03,477,80.98,Knauer 2004,5,546.74,54674.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-92,92,578,7.32,490,84.78,JPMorgan 2025,5,564.35,56435.2,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-93,93,618,7.0,486,78.64,Knauer 2004,5,571.52,57152.4,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-94,94,635,6.96,499,78.58,Knauer 2004,5,582.94,58294.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-95,95,659,6.85,479,72.69,Knauer 2004,5,615.44,61544.4,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-96,96,628,7.34,520,82.8,Knauer 2004,5,631.85,63184.8,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-97,97,636,7.4,536,84.28,Knauer 2004,45,3250.5,325050.2,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-98,98,601,7.99,529,88.02,JPMorgan 2025,5,629.54,62954.4,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-99,99,725,6.76,553,76.28,JPMorgan 2025,5,648.94,64894.4,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
LABS-100,100,630,7.94,578,91.75,Knauer 2004,50,4048.61,404860.8,"AMD EPYC-Rome, 100 cores",Quicopt v0.2
